salary,attrition,age,department,number_of_working_hours,gender,marital_status,job_satisfaction,environment_satisfaction,education,job_role,years_since_last_promotion,relationship_satisfaction,education_field,work_shift,years_of_experience,attendance,employment_status,distance_from_home,specializations,supervisor_name,employee_name,work_location,over_time,training_since_last_year
59929,No,34,Finance,37,Male,Married,High,Very High,Master,Administrator,6,Very High,Administration,Day,11,84,Full-time,9.0,Risk Management,Sonia Corwin,Judy Burton,San Diego,Yes,3
87500,No,35,Information Technology (IT),37,Female,Married,High,Low,Master,Administrator,1,Very High,Administration,Day,10,86,Full-time,12.0,Facility Management,Matthew Lopez,Mary Luna,New York,No,1
74900,No,40,Patient Services,40,Female,Married,Very High,Medium,Bachelor,Administrator,2,High,Administration,Night,10,90,Full-time,5.0,Medical Staff Administration,Peter McGinty,Lorena Hess,Philadelphia,No,2
10000,No,45,Medical Records,40,Male,Single,High,High,Master,Administrator,10,Medium,Administration,Night,12,94,Part-time,18.0,Health Information Management,Karen,Dr. Thorp,San Diego,Yes,4
91749,Yes,39,Facilities Management,40,Male,Married,Low,Medium,Bachelor,Administrator,1,High,Administration,Day,13,89,Full-time,22.0,Financial Management,Dawn D,Wade Cunningham,Philadelphia,No,1
56868,Yes,44,Quality Assurance,40,Female,Married,Medium,Low,Bachelor,Administrator,15,Very High,Administration,Rotating,11,92,Full-time,8.0,Human Resources Management,Krista Koch,Melissa Cramer,Chicago,Yes,5
99196,No,35,Marketing and Communications,40,Male,Single,Very High,Very High,Master,Administrator,3,Medium,Administration,Rotating,5,92,Full-time,22.0,Operations Management,Genevieve M,Ms. Christina E. Bell,Pheonix,Yes,2
73000,Yes,40,Supply Chain Management,45,Male,Married,Very High,Low,Master,Administrator,6,High,Administration,Rotating,16,93,Full-time,2.0,Quality Management,Melanie Heidenreich,Derrick Gutierrez,New York,No,3
34500,No,51,Risk Management,40,Male,Married,Very High,Very High,Bachelor,Administrator,2,High,Administration,Night,12,100,Full-time,2.0,Strategic Planning,John Hamilton,Steve,Houston,Yes,3
20000,No,51,Human Resources (HR),40,Male,Married,High,Low,Bachelor,Administrator,10,Very High,Administration,Night,15,84,Part-time,7.0,Healthcare Policy and Compliance,Linh Nguyen,Dr. Chuong Pham,Los Angeles,No,5
10000,Yes,35,Finance,50,Male,Married,Low,High,PhD,Administrator,2,Medium,Administration,Night,2,87,Contract,2.0,Marketing and Public Relations,Julie Ratio,Latrell Ebert,Chicago,No,4
97172,No,50,Information Technology (IT),40,Male,Single,Medium,Low,PhD,Administrator,10,High,Administration,Rotating,6,90,Full-time,8.0,Patient Services Management,Caitlin Fernandez,Mr. Cory Zhang,Philadelphia,No,4
80729,Yes,43,Patient Services,37,Male,Married,Very High,High,Bachelor,Administrator,0,Very High,Administration,Day,11,84,Full-time,18.0,Supply Chain Management,Tuahna Lauterbach,Michael Dale,Houston,No,6
63000,Yes,47,Medical Records,40,Female,Married,Low,Medium,Bachelor,Administrator,8,High,Administration,Night,11,83,Part-time,9.0,Health Informatics,William White,Sweety Yates,San Diego,No,2
12300,Yes,39,Facilities Management,40,Male,Single,High,High,Bachelor,Administrator,1,Very High,Administration,Day,1,98,Contract,22.0,Risk Management,Sheryl Barger,Nicholas Hart,Pheonix,No,3
20000,Yes,29,Quality Assurance,37,Male,Married,Low,Medium,Bachelor,Administrator,6,Medium,Administration,Rotating,6,89,Full-time,3.0,Facility Management,Jehovah Bankston,Conner Watkins,New York,Yes,5
23000,No,32,Marketing and Communications,40,Female,Married,Medium,High,Bachelor,Administrator,6,Very High,Administration,Night,3,97,Full-time,11.0,Medical Staff Administration,Gregory Lopez,Thelma Procopio,Los Angeles,No,2
64000,No,50,Supply Chain Management,40,Male,Married,Very High,Low,Master,Administrator,11,Very High,Administration,Day,5,96,Contract,1.0,Health Information Management,Bryant,Dr. Bryant,Washington,No,4
72800,Yes,41,Risk Management,40,Male,Married,Low,Medium,Bachelor,Administrator,8,Very High,Administration,Night,4,92,Full-time,1.0,Financial Management,Ghosh,Mr. Alvin Alexander,Seattle,No,2
46926,Yes,50,Human Resources (HR),40,Male,Married,Very High,High,Master,Administrator,4,Very High,Administration,Day,2,89,Full-time,3.0,Human Resources Management,Sarah Coker,Jason Eggleston,Philadelphia,No,3
56000,No,38,Finance,40,Male,Single,Very High,Very High,Master,Administrator,10,Very High,Administration,Rotating,12,86,Full-time,11.0,Operations Management,Jason White,Anne Archer,Los Angeles,Yes,5
70000,No,38,Information Technology (IT),40,Male,Married,High,Very High,Master,Administrator,3,Low,Administration,Night,10,85,Full-time,2.0,Quality Management,Michael James,James Martin,Pheonix,No,5
65000,Yes,51,Patient Services,40,Male,Married,Very High,Very High,Bachelor,Administrator,5,High,Administration,Night,11,94,Full-time,1.0,Strategic Planning,Michael Brown,Anna Davis,Washington,No,6
23000,No,36,Medical Records,40,Male,Single,Very High,Medium,Master,Administrator,2,Low,Administration,Night,2,91,Full-time,10.0,Healthcare Policy and Compliance,Brent Wysong,Bradley Pritchard,Seattle,Yes,2
10071,No,55,Facilities Management,40,Male,Single,High,Very High,Bachelor,Administrator,13,Very High,Administration,Night,19,85,Full-time,2.0,Marketing and Public Relations,Kerry Long,Mr. Winston Gutierrez,San Diego,No,3
19575,Yes,28,Quality Assurance,40,Male,Married,High,Low,Bachelor,Administrator,2,High,Administration,Day,2,90,Full-time,10.0,Patient Services Management,Dana,Glenn Mccullen,New York,Yes,2
77564,No,30,Marketing and Communications,40,Male,Married,Very High,Very High,Master,Administrator,4,Low,Administration,Night,1,89,Full-time,13.0,Supply Chain Management,Cheryl Barlow,Yasser Keller,Chicago,No,3
78216,No,38,Supply Chain Management,40,Male,Married,Low,Medium,Master,Administrator,5,Very High,Administration,Night,3,92,Full-time,11.0,Health Informatics,Lazzarini,Mr. R. Poniewozik,Philadelphia,Yes,3
23000,Yes,30,Risk Management,40,Male,Married,Low,High,Bachelor,Administrator,4,Low,Administration,Night,4,87,Full-time,5.0,Risk Management,Hamid Kannan,Dr. Brett Puckett,Los Angeles,No,3
50000,No,28,Human Resources (HR),40,Female,Married,Very High,High,Bachelor,Administrator,2,High,Administration,Day,2,85,Full-time,12.0,Facility Management,Thomas P. Mcintire,Lynn J. Klingel,Seattle,No,3
20770,Yes,46,Finance,40,Male,Married,Low,Very High,Master,Administrator,2,Very High,Administration,Rotating,16,87,Full-time,1.0,Medical Staff Administration,Reno Duque,Barbara Spencer,Houston,No,6
62000,No,42,Information Technology (IT),40,Male,Married,High,Low,Master,Administrator,1,High,Administration,Day,18,91,Full-time,11.0,Health Information Management,Hari Prasad,Dr. Rishabh Joshi,Pheonix,No,2
32000,Yes,26,Patient Services,40,Female,Married,High,Very High,Bachelor,Administrator,5,Very High,Administration,Day,2,87,Full-time,15.0,Financial Management,Kelly S,Rosemary Housley,Washington,No,0
20000,No,35,Medical Records,40,Male,Married,Very High,High,Bachelor,Administrator,2,Very High,Administration,Night,5,85,Full-time,11.0,Human Resources Management,Michael Gomez,Bradley O'connor,San Diego,No,2
63000,Yes,30,Facilities Management,48,Male,Single,High,Medium,Bachelor,Administrator,1,Very High,Administration,Rotating,4,95,Full-time,16.0,Operations Management,Samantha,Janine Reeves,New York,No,0
88556,Yes,29,Quality Assurance,40,Female,Single,High,Medium,Bachelor,Administrator,8,High,Administration,Rotating,5,93,Full-time,4.0,Quality Management,Lilly Tillman,Tammy Miller,Chicago,No,2
74000,Yes,47,Marketing and Communications,41,Female,Single,Medium,Medium,Bachelor,Administrator,5,Low,Administration,Night,20,93,Contract,3.0,Strategic Planning,Tiffany Funk,Renee Mckenzie,Seattle,No,1
82287,Yes,35,Supply Chain Management,40,Male,Single,Very High,Low,Bachelor,Administrator,2,High,Administration,Night,11,90,Part-time,11.0,Healthcare Policy and Compliance,Kevin Lopez,Michael Shaw,San Diego,Yes,4
59957,No,35,Risk Management,40,Male,Married,Very High,Very High,Master,Administrator,3,Very High,Administration,Day,16,95,Full-time,8.0,Marketing and Public Relations,Alice Dye,Dr. Joshua Gibson,Los Angeles,No,2
29863,Yes,31,Human Resources (HR),40,Female,Single,High,Low,Master,Administrator,3,Very High,Administration,Rotating,5,90,Contract,18.0,Patient Services Management,Kimberly Dahl,Tiffany Yates,Washington,Yes,2
56000,Yes,33,Finance,38,Male,Single,High,High,Bachelor,Administrator,0,High,Administration,Night,13,83,Part-time,8.0,Supply Chain Management,Joseph Walsh,Gregory Smith,Chicago,Yes,3
63000,Yes,38,Information Technology (IT),40,Female,Married,Low,Medium,Master,Administrator,7,High,Administration,Day,1,83,Full-time,3.0,Health Informatics,Jessica Gleeson,Jessica Haggard,Philadelphia,Yes,2
76625,No,39,Patient Services,37,Male,Married,Low,High,Master,Administrator,2,High,Administration,Day,2,87,Full-time,1.0,Risk Management,Robert Ramirez,Mr. Jason Reeves,Pheonix,Yes,3
38000,Yes,28,Medical Records,40,Male,Married,Very High,High,Bachelor,Administrator,1,High,Administration,Rotating,2,100,Full-time,3.0,Facility Management,Kayla Chaney,Brian Smith,New York,Yes,2
54386,Yes,44,Facilities Management,38,Male,Married,Very High,Low,Bachelor,Administrator,2,High,Administration,Rotating,12,89,Contract,6.0,Medical Staff Administration,Liesel Christensen,Mr. Antonio Friesen,Houston,Yes,1
21000,Yes,29,Quality Assurance,40,Female,Married,Low,Medium,Bachelor,Administrator,3,Very High,Administration,Night,1,80,Part-time,24.0,Health Information Management,Rogers,Ms.Sylvia Hahn,New York,No,3
56000,No,35,Marketing and Communications,40,Male,Married,Low,High,Bachelor,Administrator,15,High,Administration,Night,11,87,Full-time,4.0,Financial Management,Susan Burke,Jayanti Singh,Chicago,Yes,3
68218,Yes,49,Supply Chain Management,36,Male,Married,Very High,Very High,Master,Administrator,14,Very High,Administration,Rotating,14,88,Full-time,1.0,Human Resources Management,Hester Talley,Michael Furman,Seattle,No,3
65558,No,31,Risk Management,56,Male,Single,High,Low,Bachelor,Administrator,1,High,Administration,Day,1,90,Full-time,3.0,Operations Management,Ann Roberts,Troy Bruce,Pheonix,No,2
32000,No,25,Human Resources (HR),40,Male,Single,Very High,Low,Bachelor,Administrator,2,Medium,Administration,Night,2,94,Full-time,1.0,Quality Management,Noah,Julia Bender,Philadelphia,Yes,3
29300,No,38,Finance,40,Female,Married,Very High,Very High,Bachelor,Administrator,1,Very High,Administration,Day,5,91,Full-time,7.0,Strategic Planning,Jason Bray,Sabrina Walls,San Diego,No,2
40100,No,40,Information Technology (IT),40,Female,Married,High,Medium,Bachelor,Administrator,0,Very High,Administration,Night,11,86,Full-time,9.0,Healthcare Policy and Compliance,London,Mrs. K. Walsh,Houston,Yes,2
38147,No,37,Patient Services,40,Female,Married,Low,Low,Bachelor,Administrator,3,Very High,Administration,Day,15,87,Full-time,5.0,Marketing and Public Relations,Shelly Graft,Kathryn Cumbo,Los Angeles,No,3
72253,Yes,34,Medical Records,40,Male,Single,High,High,Bachelor,Administrator,3,Medium,Administration,Rotating,6,95,Contract,13.0,Patient Services Management,Mark,Karla Pim,Washington,No,2
33281,No,40,Facilities Management,40,Male,Divorced,High,Very High,Master,Administrator,1,High,Administration,Day,2,99,Full-time,13.0,Supply Chain Management,Linda Zimmerman,Michael Schneider,New York,Yes,2
98000,Yes,42,Quality Assurance,40,Male,Married,Medium,Medium,Bachelor,Administrator,7,High,Administration,Night,12,87,Full-time,9.0,Health Informatics,Roger Kaufman,Chayan Chowdhury,Chicago,No,3
85600,No,33,Marketing and Communications,40,Male,Married,Low,Medium,Bachelor,Administrator,6,High,Administration,Rotating,4,87,Contract,2.0,Risk Management,Jason Schneider,Nickolas Kuphal,Seattle,No,2
44307,No,40,Supply Chain Management,40,Male,Married,Low,Medium,Bachelor,Administrator,0,Very High,Administration,Rotating,2,87,Full-time,23.0,Facility Management,Dimitrios K,Juan A,Pheonix,No,2
74500,No,59,Risk Management,40,Male,Single,High,Very High,Bachelor,Administrator,2,Low,Administration,Night,9,88,Full-time,20.0,Medical Staff Administration,Maria Fritz,Tom Jones,Philadelphia,Yes,0
41500,Yes,24,Human Resources (HR),37,Female,Single,High,Low,Bachelor,Administrator,8,Very High,Administration,Night,2,81,Full-time,1.0,Health Information Management,Carson Montana,Bobbie Doll,San Diego,No,2
49630,Yes,26,Finance,40,Male,Married,Medium,High,Bachelor,Administrator,1,Very High,Administration,Night,3,90,Full-time,1.0,Financial Management,Maggie Cardenas,Darrell Parker,Houston,No,3
56056,Yes,45,Information Technology (IT),37,Male,Married,Medium,High,Bachelor,Administrator,7,Medium,Administration,Day,23,90,Full-time,18.0,Human Resources Management,James Prescott,Dr. Jared Macmillan,Los Angeles,No,4
16328,No,25,Patient Services,40,Male,Single,Medium,Medium,Bachelor,Administrator,2,Medium,Administration,Day,1,92,Full-time,7.0,Operations Management,Dorathy,J. Doe,Washington,No,3
87898,No,47,Medical Records,37,Male,Single,Very High,Medium,Bachelor,Administrator,11,Medium,Administration,Day,12,94,Contract,4.0,Quality Management,Keith Taylor,Andre Jackson,New York,No,3
63200,Yes,30,Facilities Management,40,Female,Married,Very High,High,Bachelor,Administrator,3,Very High,Administration,Night,4,87,Full-time,9.0,Strategic Planning,Melissa Wilson,Lynn Smith,Chicago,No,2
12000,Yes,48,Quality Assurance,37,Male,Married,Low,High,Bachelor,Administrator,4,Medium,Administration,Day,11,91,Full-time,10.0,Healthcare Policy and Compliance,James,Jeffrey Rasmussen,Seattle,No,2
32060,No,35,Marketing and Communications,40,Male,Married,Low,Very High,Master,Administrator,6,Medium,Administration,Rotating,4,89,Full-time,3.0,Marketing and Public Relations,Caitlin Lawson,Michael Cervantes,Pheonix,Yes,3
41699,No,37,Supply Chain Management,43,Male,Single,High,Low,Bachelor,Administrator,8,Low,Administration,Night,28,90,Full-time,8.0,Patient Services Management,Troy Moore,Jessica Garrison,Philadelphia,No,3
56963,Yes,34,Risk Management,40,Female,Married,Medium,Medium,Bachelor,Administrator,1,Very High,Administration,Day,6,89,Part-time,2.0,Supply Chain Management,Jennifer Smith,Melissa Dickerson,San Diego,Yes,2
95250,No,30,Human Resources (HR),40,Male,Divorced,Very High,Very High,PhD,Administrator,15,High,Administration,Rotating,13,88,Contract,13.0,Health Informatics,Robert Wallace,Douglas Tippen,Houston,Yes,1
34000,No,33,Finance,40,Female,Single,High,Medium,Bachelor,Administrator,8,Low,Administration,Day,16,97,Full-time,4.0,Risk Management,Jeffrey Montoya,Kaylee Conner,Los Angeles,No,3
12300,No,40,Information Technology (IT),42,Male,Single,Very High,Low,Bachelor,Administrator,3,Very High,Administration,Day,9,92,Full-time,5.0,Facility Management,Fisher,Dr. K. Smith,Washington,No,4
64766,No,42,Patient Services,37,Male,Married,Very High,Medium,Master,Administrator,1,Very High,Administration,Night,12,87,Full-time,1.0,Medical Staff Administration,Pamela Strode,Glenn Faulkner,New York,Yes,3
98000,Yes,27,Medical Records,40,Male,Married,Medium,Low,Bachelor,Administrator,8,High,Administration,Day,10,84,Full-time,8.0,Health Information Management,Crystal Hodges,Dr. Shea Alston,Chicago,No,2
70000,Yes,39,Facilities Management,40,Male,Single,Very High,Very High,Bachelor,Administrator,4,Low,Administration,Rotating,9,50,Full-time,11.0,Financial Management,Didi Reyes MD,Sherman Fultz,Seattle,No,3
45600,No,29,Quality Assurance,40,Female,Single,Low,High,Bachelor,Administrator,7,High,Administration,Day,2,92,Full-time,23.0,Human Resources Management,Dana Ward,Jordan Compton,Pheonix,No,3
25565,Yes,33,Marketing and Communications,40,Female,Single,Very High,Very High,Bachelor,Administrator,0,Medium,Administration,Night,1,87,Full-time,13.0,Operations Management,Jessica Miller,Theresa Barber,Philadelphia,No,4
63650,Yes,26,Supply Chain Management,40,Male,Single,Very High,High,Bachelor,Administrator,3,Low,Administration,Day,3,98,Full-time,2.0,Quality Management,Sarah Wilkins,Olivia Boyle,San Diego,No,3
74100,No,55,Risk Management,40,Female,Single,Very High,High,Bachelor,Administrator,4,Very High,Administration,Night,13,70,Part-time,9.0,Strategic Planning,Vinisha Chakravarthy,Nancy Cox,Houston,No,3
63000,No,35,Human Resources (HR),40,Male,Single,Medium,High,PhD,Administrator,6,Very High,Administration,Rotating,6,86,Full-time,12.0,Healthcare Policy and Compliance,Sarah Wambach,Jacob Roehl,Los Angeles,No,3
89000,No,30,Finance,40,Male,Single,Very High,High,Master,Administrator,5,Very High,Administration,Rotating,3,84,Full-time,19.0,Marketing and Public Relations,Michael,Adam Yi,Washington,Yes,2
94430,No,27,Information Technology (IT),40,Male,Married,Medium,High,Bachelor,Administrator,1,Medium,Administration,Day,1,89,Full-time,3.0,Patient Services Management,Ronald White,David Green,Chicago,Yes,4
65510,No,25,Patient Services,42,Male,Single,Low,High,Bachelor,Administrator,1,High,Administration,Night,4,90,Full-time,7.0,Supply Chain Management,B Medow,Karl Hackman,San Diego,Yes,5
61668,No,31,Medical Records,40,Female,Married,High,Medium,Bachelor,Administrator,2,Low,Administration,Rotating,3,91,Full-time,4.0,Health Informatics,Kayla Mills,Doris Massey,Los Angeles,No,0
45200,Yes,33,Facilities Management,45,Male,Married,High,Low,Bachelor,Administrator,3,Low,Administration,Night,11,90,Full-time,4.0,Risk Management,Laurie Horn,Mr. Hector Crenshaw,Philadelphia,No,5
64399,No,56,Quality Assurance,40,Male,Married,High,Low,Bachelor,Administrator,2,Low,Administration,Night,15,86,Part-time,15.0,Facility Management,Sheila Fernandes,Mr. Fletcher Graham,Houston,No,2
46000,Yes,53,Marketing and Communications,40,Male,Divorced,High,Medium,Master,Administrator,15,Medium,Administration,Day,12,86,Full-time,1.0,Medical Staff Administration,Bill,James Tucker,Phoenix,No,3
74100,No,42,Supply Chain Management,37,Female,Married,High,Very High,Bachelor,Administrator,1,High,Administration,Night,17,82,Full-time,15.0,Health Information Management,Kristine Perry,Mathew Passe,New York,No,1
34700,No,25,Risk Management,37,Male,Single,Medium,Medium,Bachelor,Administrator,2,High,Administration,Night,2,83,Full-time,1.0,Financial Management,Jessica Zier,Chelsea Albrecht,Los Angeles,No,3
57774,No,28,Human Resources (HR),45,Female,Single,Low,High,Bachelor,Administrator,4,Very High,Administration,Night,4,87,Full-time,12.0,Human Resources Management,Trenton Dillon,Dr. Kohei Blanchard,Chicago,Yes,3
87711,No,31,Finance,40,Female,Divorced,Low,Very High,Master,Administrator,1,Very High,Administration,Day,10,89,Full-time,6.0,Operations Management,Jennifer White,Michaela Koch,Houston,No,2
63000,No,32,Information Technology (IT),56,Male,Single,Very High,Very High,Bachelor,Administrator,7,Medium,Administration,Night,10,84,Full-time,11.0,Quality Management,Lillian Thomson,Daryl Murphy,Phoenix,Yes,5
63000,No,32,Patient Services,40,Male,Married,High,Low,Master,Administrator,5,High,Administration,Night,7,92,Contract,9.0,Strategic Planning,Philip Lowe,Mr. Philip Lowe,San Diego,No,3
77360,No,49,Medical Records,40,Male,Married,Very High,High,Bachelor,Administrator,4,Very High,Administration,Day,15,96,Full-time,1.0,Healthcare Policy and Compliance,Verda,Dr. Gerald,New York,No,2
83993,No,36,Facilities Management,40,Male,Single,Very High,High,Bachelor,Administrator,3,Very High,Administration,Day,2,88,Contract,4.0,Marketing and Public Relations,Lyndsey Ziegler,Adrianna Hahn,Philadelphia,No,3
52000,No,32,Quality Assurance,37,Male,Married,Medium,Low,Bachelor,Administrator,3,Low,Administration,Day,5,95,Full-time,4.0,Patient Services Management,Debra Hart,Sarah Moss,San Diego,Yes,1
63000,No,37,Marketing and Communications,40,Male,Single,High,High,Master,Administrator,6,Very High,Administration,Day,9,95,Full-time,9.0,Supply Chain Management,Ashley,Junaid Henderson,Philadelphia,Yes,1
94646,No,32,Supply Chain Management,40,Male,Single,Very High,Very High,Bachelor,Administrator,4,High,Administration,Day,7,83,Full-time,2.0,Health Informatics,Bernadette An,Jeremy Maldonado,Chicago,No,2
69000,Yes,38,Risk Management,40,Male,Single,Very High,Medium,Bachelor,Administrator,4,High,Administration,Day,20,96,Contract,5.0,Risk Management,Jay Smith,Gerald Fay,Pheonix,No,5
44000,Yes,37,Human Resources (HR),40,Male,Married,Low,Low,Bachelor,Administrator,8,High,Administration,Night,12,91,Full-time,9.0,Facility Management,Mary Stokes,Bruce Bean,New York,No,1
51913,Yes,39,Finance,40,Female,Married,High,Low,Bachelor,Administrator,2,Very High,Administration,Day,9,90,Full-time,12.0,Medical Staff Administration,Carolyn Sparks,Jenny Baehr,Houston,Yes,3
45300,No,31,Information Technology (IT),40,Female,Divorced,Very High,Very High,Master,Administrator,4,High,Administration,Day,1,97,Full-time,5.0,Health Information Management,Carolyn Weiss,Jolie Rinehart,Los Angeles,Yes,3
80120,No,28,Patient Services,37,Male,Single,High,Medium,Bachelor,Administrator,1,High,Administration,Night,2,87,Full-time,18.0,Financial Management,Gautam Goswami,Dr. A. Raj,Chicago,No,2
63000,Yes,45,Medical Records,37,Male,Married,Medium,High,PhD,Administrator,1,High,Administration,Night,13,83,Contract,22.0,Human Resources Management,Lawrence Anderson,Dr. Wade Hudson,Philadelphia,No,3
47000,Yes,26,Facilities Management,40,Male,Single,Very High,High,Bachelor,Administrator,1,Low,Administration,Night,10,88,Full-time,8.0,Operations Management,Karen Rucker,Matthew Hampton,Houston,No,3
64271,No,39,Quality Assurance,37,Male,Married,Low,High,Master,Administrator,11,Very High,Administration,Night,10,89,Contract,22.0,Quality Management,Hilda Smith,Mr. Jacky Hurst,San Diego,No,6
49859,No,39,Marketing and Communications,50,Female,Divorced,Very High,Medium,Bachelor,Administrator,10,High,Administration,Day,14,96,Contract,2.0,Strategic Planning,Maria Gomez,Frederick Abrams,Pheonix,No,6
56000,No,51,Supply Chain Management,40,Male,Married,Very High,Low,Bachelor,Administrator,7,Low,Administration,Night,3,94,Full-time,2.0,Healthcare Policy and Compliance,Johnson Sarah,"Wilson, Michael",New York,No,2
81609,No,46,Risk Management,45,Male,Married,Very High,High,Bachelor,Administrator,5,Very High,Administration,Day,9,91,Full-time,7.0,Marketing and Public Relations,Laurence Chadwick,Scott Sutherland,Los Angeles,Yes,3
98500,No,26,Human Resources (HR),37,Male,Single,High,Low,Bachelor,Administrator,3,High,Administration,Day,1,88,Full-time,2.0,Patient Services Management,Sarah Smith,David Smith,Washington,No,2
96000,No,46,Finance,40,Male,Married,Medium,High,Bachelor,Administrator,8,Low,Administration,Night,11,91,Full-time,8.0,Supply Chain Management,Maria Garza,Joseph Bibbins,Seattle,No,2
74334,No,38,Information Technology (IT),40,Male,Married,Medium,Medium,Master,Administrator,3,Low,Administration,Rotating,6,89,Full-time,18.0,Health Informatics,Martin,Dr. Martin,Philadelphia,Yes,2
45630,No,36,Patient Services,40,Male,Married,High,Low,Bachelor,Administrator,1,High,Administration,Night,1,91,Full-time,9.0,Risk Management,Russell Farley,Juanita Huffman,Los Angeles,No,5
67000,Yes,41,Medical Records,37,Female,Single,High,Medium,Bachelor,Administrator,3,Medium,Administration,Day,11,93,Full-time,22.0,Facility Management,John M,Dora L.,Pheonix,Yes,3
45600,Yes,39,Facilities Management,40,Male,Married,Medium,High,Bachelor,Administrator,4,High,Administration,Day,18,91,Full-time,3.0,Medical Staff Administration,Kimberly Johnson,Michael Koch,Washington,No,3
74000,No,59,Quality Assurance,40,Male,Divorced,Very High,Very High,Bachelor,Administrator,2,Very High,Administration,Day,21,91,Full-time,11.0,Health Information Management,Mina Sharp,Dr. Berengario Quigley,Seattle,No,3
72416,No,37,Marketing and Communications,40,Male,Divorced,High,Very High,Bachelor,Administrator,7,Very High,Administration,Rotating,7,85,Full-time,1.0,Financial Management,John Martin,Michael Kessler,San Diego,Yes,2
23000,Yes,49,Supply Chain Management,40,Female,Married,Very High,High,Bachelor,Administrator,13,High,Administration,Night,3,87,Part-time,1.0,Human Resources Management,Mary Anderson,Rosemary Clay,New York,No,2
29778,Yes,29,Risk Management,40,Male,Married,Low,High,PhD,Administrator,2,High,Administration,Day,1,75,Full-time,3.0,Operations Management,Tapas Sen,Dr. Randy Emerson,Chicago,No,2
40131,No,25,Human Resources (HR),40,Male,Single,High,Medium,Bachelor,Administrator,1,Very High,Administration,Day,1,92,Contract,11.0,Quality Management,Alice White,Germaine Mccracken,Philadelphia,No,2
21000,No,32,Finance,40,Female,Single,Very High,High,Master,Administrator,1,Very High,Administration,Night,4,85,Full-time,2.0,Strategic Planning,Mary Power,Julia Hutchinson,Los Angeles,No,3
58533,Yes,51,Information Technology (IT),40,Male,Married,High,Medium,Bachelor,Administrator,4,High,Administration,Day,11,87,Contract,1.0,Healthcare Policy and Compliance,Lindsay Pettitt,Brian Humphreys,Seattle,Yes,2
21556,No,35,Patient Services,40,Male,Married,High,High,Bachelor,Administrator,4,High,Administration,Night,1,90,Full-time,10.0,Marketing and Public Relations,Roger Mills,Bradley Shaffer,Houston,Yes,2
63100,No,27,Medical Records,40,Male,Single,High,High,Bachelor,Administrator,2,Very High,Administration,Night,1,88,Full-time,2.0,Patient Services Management,Peter Frank,Bradley Kukla,Pheonix,No,3
72510,No,28,Facilities Management,40,Male,Single,Medium,Medium,Bachelor,Administrator,4,Very High,Administration,Rotating,4,86,Full-time,10.0,Supply Chain Management,Jason,Marvin Phillips,Washington,No,0
55000,Yes,36,Quality Assurance,40,Male,Divorced,Very High,Low,Bachelor,Administrator,4,Very High,Administration,Night,2,87,Full-time,13.0,Health Informatics,Yvette,Cassie Atkinson,San Diego,No,2
